user_id,monthly_income,current_balance,curr_dining,last_dining,dining_change_pct,curr_shopping,last_shopping,shopping_delta_amt,total_spend,expense_ratio,savings_ratio,goal_target,months_to_goal,goal_shortfall,predicted_balance_15d,agent_ground_truth_advice
30,71869,6059,3289,2390,37.6,6502,7352,-850,36526,0.51,0.49,50000,1.4,43941,-12204,Dining increased by 38%. Goal reach in 1.4 months. Excellent budget discipline!
31,108484,144234,13997,15961,-12.3,17393,14702,2691,72974,0.67,0.33,1000000,27.3,855766,107747,Goal reach in 27.3 months. Excellent budget discipline!
32,109254,301999,3976,4768,-16.6,24171,26767,-2596,45761,0.42,0.58,500000,6.9,198001,279118,Great! Shopping reduced by ₹2596. Goal reach in 6.9 months. Excellent budget discipline!
33,173306,77070,2517,3039,-17.2,16666,21958,-5292,59856,0.35,0.65,50000,0.3,0,47142,Great! Shopping reduced by ₹5292. Goal reach in 0.3 months. Excellent budget discipline!
34,61745,399316,4102,5349,-23.3,6595,7662,-1067,42369,0.69,0.31,50000,0.1,0,378132,Goal reach in 0.1 months. Excellent budget discipline!
35,87319,102373,8428,7896,6.7,11056,13847,-2791,33286,0.38,0.62,100000,1.5,0,85730,Great! Shopping reduced by ₹2791. Goal reach in 1.5 months. Excellent budget discipline!
36,154066,452414,9539,7902,20.7,3681,3223,458,36468,0.24,0.76,50000,0.1,0,434180,Goal reach in 0.1 months. Excellent budget discipline!
37,59532,418958,5619,5555,1.2,20707,15303,5404,40401,0.68,0.32,1000000,47.9,581042,398758,Goal reach in 47.9 months. Excellent budget discipline!
38,179443,269204,4090,5514,-25.8,16647,13326,3321,62683,0.35,0.65,100000,0.4,0,237862,Goal reach in 0.4 months. Excellent budget discipline!
39,76775,410568,5949,5493,8.3,2385,1573,812,42210,0.55,0.45,50000,0.1,0,389463,Goal reach in 0.1 months. Excellent budget discipline!
40,179541,198228,9434,6296,49.8,7385,4918,2467,60843,0.34,0.66,500000,3.9,301772,167806,Dining increased by 50%. Goal reach in 3.9 months. Excellent budget discipline!
41,55869,97997,9651,9241,4.4,13666,14147,-481,56776,1.02,0.0,500000,-1.0,500000,69609,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
42,170754,400831,14540,17348,-16.2,19424,23904,-4480,73348,0.43,0.57,500000,4.3,99169,364157,Great! Shopping reduced by ₹4480. Goal reach in 4.3 months. Excellent budget discipline!
43,103463,168432,10306,8027,28.4,1173,1496,-323,49632,0.48,0.52,1000000,18.0,831568,143616,Goal reach in 18.0 months. Excellent budget discipline!
44,129306,18475,4094,4088,0.1,14183,11855,2328,30583,0.24,0.76,1000000,10.1,981525,3184,Goal reach in 10.1 months. Excellent budget discipline!
45,173536,95290,13450,18152,-25.9,7699,7855,-156,37869,0.22,0.78,50000,0.2,0,76356,Goal reach in 0.2 months. Excellent budget discipline!
46,109930,255150,5662,6900,-17.9,22463,23916,-1453,40622,0.37,0.63,500000,6.5,244850,234839,Goal reach in 6.5 months. Excellent budget discipline!
47,55782,205016,13662,17666,-22.7,6074,6010,64,41497,0.74,0.26,100000,4.1,0,184268,Goal reach in 4.1 months. High risk: Expense ratio at 70%+. Reduce wants.
48,52349,182519,9593,8935,7.4,8768,9323,-555,33426,0.64,0.36,50000,0.7,0,165806,Goal reach in 0.7 months. Excellent budget discipline!
49,115032,141831,2947,4086,-27.9,17626,12605,5021,44341,0.39,0.61,50000,0.3,0,119660,Goal reach in 0.3 months. Excellent budget discipline!
50,150658,433758,12306,7710,59.6,22877,19955,2922,61603,0.41,0.59,50000,0.1,0,402956,Dining increased by 60%. Goal reach in 0.1 months. Excellent budget discipline!
51,158636,121544,7708,6187,24.6,5894,7184,-1290,50627,0.32,0.68,50000,0.2,0,96230,Goal reach in 0.2 months. Excellent budget discipline!
52,88457,176515,2765,3348,-17.4,24141,31751,-7610,51664,0.58,0.42,1000000,26.2,823485,150683,Great! Shopping reduced by ₹7610. Goal reach in 26.2 months. Excellent budget discipline!
53,147810,258520,2299,2843,-19.1,12848,13310,-462,51997,0.35,0.65,50000,0.1,0,232522,Goal reach in 0.1 months. Excellent budget discipline!
54,79240,89307,5849,4087,43.1,9659,11370,-1711,39314,0.5,0.5,1000000,24.6,910693,69650,Dining increased by 43%. Goal reach in 24.6 months. Excellent budget discipline!
55,39647,98609,5293,5535,-4.4,12234,8304,3930,51625,1.3,0.0,50000,-1.0,50000,72796,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
56,77091,384601,13540,8506,59.2,9910,7347,2563,37141,0.48,0.52,500000,10.6,115399,366030,Dining increased by 59%. Goal reach in 10.6 months. Excellent budget discipline!
57,44736,217138,6863,6427,6.8,4210,5400,-1190,51129,1.14,0.0,500000,-1.0,500000,191574,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
58,49832,83180,7791,6940,12.3,24860,30645,-5785,78175,1.57,0.0,1000000,-1.0,1000000,44092,Great! Shopping reduced by ₹5785. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
59,122048,391224,5918,5719,3.5,11856,15926,-4070,24950,0.2,0.8,50000,0.1,0,378749,Great! Shopping reduced by ₹4070. Goal reach in 0.1 months. Excellent budget discipline!
60,37828,182107,13560,17488,-22.5,13059,15899,-2840,62533,1.65,0.0,500000,-1.0,500000,150840,Great! Shopping reduced by ₹2840. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
61,45014,410045,13202,8167,61.7,15852,18318,-2466,41257,0.92,0.08,500000,111.3,89955,389416,Dining increased by 62%. Great! Shopping reduced by ₹2466. Goal reach in 111.3 months. High risk: Expense ratio at 70%+. Reduce wants.
62,82532,19479,11756,15978,-26.4,3975,3268,707,37985,0.46,0.54,500000,11.1,480521,486,Goal reach in 11.1 months. Excellent budget discipline!
63,35928,25406,3596,4087,-12.0,3911,4059,-148,51600,1.44,0.0,1000000,-1.0,1000000,-394,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
64,190361,138996,14315,9637,48.5,5202,3857,1345,46739,0.25,0.75,50000,0.2,0,115626,Dining increased by 49%. Goal reach in 0.2 months. Excellent budget discipline!
65,36368,449521,13953,17945,-22.2,17719,16955,764,74516,2.05,0.0,100000,-1.0,100000,412263,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
66,125786,142036,6669,4847,37.6,5189,3897,1292,23128,0.18,0.82,500000,4.6,357964,130472,Dining increased by 38%. Goal reach in 4.6 months. Excellent budget discipline!
67,139294,368195,7393,8613,-14.2,7297,5848,1449,50567,0.36,0.64,500000,4.8,131805,342912,Goal reach in 4.8 months. Excellent budget discipline!
68,171070,153599,3263,4228,-22.8,7382,8612,-1230,54436,0.32,0.68,50000,0.2,0,126381,Goal reach in 0.2 months. Excellent budget discipline!
69,159947,39146,7546,6189,21.9,1651,1062,589,33217,0.21,0.79,1000000,7.8,960854,22538,Goal reach in 7.8 months. Excellent budget discipline!
70,184914,427425,6158,6856,-10.2,23706,17281,6425,69261,0.37,0.63,100000,0.1,0,392794,Goal reach in 0.1 months. Excellent budget discipline!
71,156109,311378,10129,8589,17.9,4932,6894,-1962,54026,0.35,0.65,100000,0.4,0,284365,Goal reach in 0.4 months. Excellent budget discipline!
72,40934,129493,7720,10371,-25.6,16551,16636,-85,53126,1.3,0.0,1000000,-1.0,1000000,102930,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
73,123456,141947,7031,6411,9.7,9430,9678,-248,33838,0.27,0.73,50000,0.2,0,125028,Goal reach in 0.2 months. Excellent budget discipline!
74,98645,247809,5866,4507,30.2,18043,12785,5258,60727,0.62,0.38,500000,11.9,252191,217446,Dining increased by 30%. Goal reach in 11.9 months. Excellent budget discipline!
75,45997,153740,10142,12552,-19.2,11824,14858,-3034,35096,0.76,0.24,50000,1.8,0,136192,Great! Shopping reduced by ₹3034. Goal reach in 1.8 months. High risk: Expense ratio at 70%+. Reduce wants.
76,107933,232336,12963,8728,48.5,7567,7712,-145,35505,0.33,0.67,500000,6.3,267664,214584,Dining increased by 49%. Goal reach in 6.3 months. Excellent budget discipline!
77,149928,119737,2268,2683,-15.5,19402,19184,218,63262,0.42,0.58,100000,0.9,0,88106,Goal reach in 0.9 months. Excellent budget discipline!
78,199601,83235,10084,8255,22.2,15796,14900,896,55287,0.28,0.72,50000,0.2,0,55592,Goal reach in 0.2 months. Excellent budget discipline!
79,38948,295621,2747,2965,-7.3,19329,13620,5709,30489,0.78,0.22,50000,0.1,0,280376,Goal reach in 0.1 months. High risk: Expense ratio at 70%+. Reduce wants.
80,90020,385022,12436,15328,-18.9,13097,15165,-2068,55512,0.62,0.38,50000,0.1,0,357266,Great! Shopping reduced by ₹2068. Goal reach in 0.1 months. Excellent budget discipline!
81,198556,291788,5684,6956,-18.3,7120,8785,-1665,25868,0.13,0.87,50000,0.1,0,278854,Goal reach in 0.1 months. Excellent budget discipline!
82,30757,7488,3221,2799,15.1,8409,5098,3311,37686,1.23,0.0,100000,-1.0,100000,-11355,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
83,55372,74208,14472,10715,35.1,13502,13569,-67,36605,0.66,0.34,1000000,52.5,925792,55906,Dining increased by 35%. Goal reach in 52.5 months. Excellent budget discipline!
84,105591,444027,10127,8467,19.6,20995,12636,8359,43366,0.41,0.59,500000,6.6,55973,422344,Goal reach in 6.6 months. Excellent budget discipline!
85,185357,204634,8592,5666,51.6,22627,17562,5065,73645,0.4,0.6,500000,4.1,295366,167812,Dining increased by 52%. Goal reach in 4.1 months. Excellent budget discipline!
86,136384,187088,5961,6649,-10.3,7935,4775,3160,43352,0.32,0.68,50000,0.1,0,165412,Goal reach in 0.1 months. Excellent budget discipline!
87,161673,318386,3823,5160,-25.9,5908,7526,-1618,41474,0.26,0.74,500000,3.6,181614,297649,Goal reach in 3.6 months. Excellent budget discipline!
88,174738,127466,5854,7804,-25.0,22433,30470,-8037,41940,0.24,0.76,100000,0.6,0,106496,Great! Shopping reduced by ₹8037. Goal reach in 0.6 months. Excellent budget discipline!
89,34474,415914,7411,4484,65.3,13975,9826,4149,36695,1.06,0.0,100000,-1.0,100000,397566,Dining increased by 65%. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
90,34454,31217,6950,4390,58.3,1107,679,428,41957,1.22,0.0,500000,-1.0,500000,10238,Dining increased by 58%. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
91,60586,108959,11306,14970,-24.5,4810,5877,-1067,33649,0.56,0.44,1000000,36.3,891041,92134,Goal reach in 36.3 months. Excellent budget discipline!
92,130515,367188,8847,7552,17.1,6414,7533,-1119,37315,0.29,0.71,500000,4.6,132812,348530,Goal reach in 4.6 months. Excellent budget discipline!
93,114889,120015,8266,7309,13.1,19613,20764,-1151,50565,0.44,0.56,500000,7.4,379985,94732,Goal reach in 7.4 months. Excellent budget discipline!
94,34365,102637,4339,5750,-24.5,24017,28430,-4413,63995,1.86,0.0,1000000,-1.0,1000000,70640,Great! Shopping reduced by ₹4413. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
95,177502,426113,8693,8112,7.2,12771,14307,-1536,58494,0.33,0.67,100000,0.1,0,396866,Goal reach in 0.1 months. Excellent budget discipline!
96,140753,490202,7839,5982,31.1,21485,19796,1689,50560,0.36,0.64,50000,0.1,0,464922,Dining increased by 31%. Goal reach in 0.1 months. Excellent budget discipline!
97,194173,322770,13921,18884,-26.3,13278,11947,1331,55463,0.29,0.71,1000000,6.7,677230,295038,Goal reach in 6.7 months. Excellent budget discipline!
98,146276,214134,6220,4471,39.1,1525,1716,-191,48147,0.33,0.67,1000000,9.8,785866,190060,Dining increased by 39%. Goal reach in 9.8 months. Excellent budget discipline!
99,45067,255709,12249,14496,-15.5,16087,17067,-980,54041,1.2,0.0,100000,-1.0,100000,228688,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
100,103628,382492,4061,2554,59.0,11195,12708,-1513,44026,0.42,0.58,50000,0.1,0,360479,Dining increased by 59%. Goal reach in 0.1 months. Excellent budget discipline!
101,41905,161040,5459,5904,-7.5,6384,7191,-807,33552,0.8,0.2,500000,56.0,338960,144264,Goal reach in 56.0 months. High risk: Expense ratio at 70%+. Reduce wants.
102,131736,77989,4459,5529,-19.4,23513,22212,1301,68771,0.52,0.48,500000,7.7,422011,43604,Goal reach in 7.7 months. Excellent budget discipline!
103,148974,220441,8013,9062,-11.6,16666,19924,-3258,42813,0.29,0.71,50000,0.1,0,199034,Great! Shopping reduced by ₹3258. Goal reach in 0.1 months. Excellent budget discipline!
104,198922,112456,3143,3212,-2.2,19457,15662,3795,44128,0.22,0.78,100000,0.5,0,90392,Goal reach in 0.5 months. Excellent budget discipline!
105,85452,157368,4032,3501,15.2,23919,15268,8651,61123,0.72,0.28,500000,19.3,342632,126806,Goal reach in 19.3 months. High risk: Expense ratio at 70%+. Reduce wants.
106,137811,444285,4658,4892,-4.8,3758,2583,1175,27505,0.2,0.8,50000,0.1,0,430532,Goal reach in 0.1 months. Excellent budget discipline!
107,82465,268276,10818,11265,-4.0,3128,2102,1026,49914,0.61,0.39,100000,1.4,0,243319,Goal reach in 1.4 months. Excellent budget discipline!
108,89243,424082,9296,7554,23.1,11928,11884,44,51882,0.58,0.42,50000,0.1,0,398141,Goal reach in 0.1 months. Excellent budget discipline!
109,158793,281384,13396,17629,-24.0,8538,11849,-3311,32355,0.2,0.8,1000000,7.5,718616,265206,Great! Shopping reduced by ₹3311. Goal reach in 7.5 months. Excellent budget discipline!
110,107247,95466,10620,11738,-9.5,8115,8140,-25,27717,0.26,0.74,1000000,12.3,904534,81608,Goal reach in 12.3 months. Excellent budget discipline!
111,186555,232795,13396,9667,38.6,6986,8700,-1714,57269,0.31,0.69,100000,0.4,0,204160,Dining increased by 39%. Goal reach in 0.4 months. Excellent budget discipline!
112,149372,236281,6699,8745,-23.4,11824,11918,-94,31769,0.21,0.79,100000,0.4,0,220396,Goal reach in 0.4 months. Excellent budget discipline!
113,82110,352756,4556,4280,6.4,19156,24292,-5136,38852,0.47,0.53,1000000,21.5,647244,333330,Great! Shopping reduced by ₹5136. Goal reach in 21.5 months. Excellent budget discipline!
114,93759,22458,9620,6860,40.2,21509,23337,-1828,67682,0.72,0.28,100000,3.7,77542,-11383,Dining increased by 40%. Goal reach in 3.7 months. High risk: Expense ratio at 70%+. Reduce wants.
115,180605,185354,7456,8727,-14.6,11197,7847,3350,44986,0.25,0.75,1000000,7.1,814646,162861,Goal reach in 7.1 months. Excellent budget discipline!
116,160735,249253,3147,2702,16.5,22458,23390,-932,70508,0.44,0.56,100000,0.6,0,213999,Goal reach in 0.6 months. Excellent budget discipline!
117,92078,471444,10499,11681,-10.1,2852,3410,-558,45282,0.49,0.51,100000,0.1,0,448803,Goal reach in 0.1 months. Excellent budget discipline!
118,68187,188040,13679,13660,0.1,9292,10859,-1567,45651,0.67,0.33,100000,2.8,0,165214,Goal reach in 2.8 months. Excellent budget discipline!
119,79548,179449,4824,5065,-4.8,2322,1662,660,22139,0.28,0.72,100000,1.1,0,168380,Goal reach in 1.1 months. Excellent budget discipline!
120,152965,271057,11056,12738,-13.2,7726,7932,-206,37246,0.24,0.76,100000,0.4,0,252434,Goal reach in 0.4 months. Excellent budget discipline!
121,180759,432393,6536,8444,-22.6,22109,27953,-5844,51112,0.28,0.72,50000,0.1,0,406837,Great! Shopping reduced by ₹5844. Goal reach in 0.1 months. Excellent budget discipline!
122,135482,494355,10319,12470,-17.3,8308,8686,-378,60112,0.44,0.56,1000000,12.0,505645,464299,Goal reach in 12.0 months. Excellent budget discipline!
123,76526,308987,13830,11212,23.3,14857,20679,-5822,64214,0.84,0.16,100000,3.1,0,276880,Great! Shopping reduced by ₹5822. Goal reach in 3.1 months. High risk: Expense ratio at 70%+. Reduce wants.
124,31295,65751,2198,1864,17.9,13003,14402,-1399,55311,1.77,0.0,500000,-1.0,500000,38096,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
125,197101,191059,4164,3161,31.7,19495,24852,-5357,63994,0.32,0.68,500000,3.5,308941,159062,Dining increased by 32%. Great! Shopping reduced by ₹5357. Goal reach in 3.5 months. Excellent budget discipline!
126,120736,380077,2814,2512,12.0,24111,18571,5540,44991,0.37,0.63,500000,5.6,119923,357582,Goal reach in 5.6 months. Excellent budget discipline!
127,111568,179089,11298,8856,27.6,17674,15068,2606,55233,0.5,0.5,500000,8.2,320911,151472,Goal reach in 8.2 months. Excellent budget discipline!
128,170704,386202,8529,10019,-14.9,20217,17752,2465,43629,0.26,0.74,100000,0.2,0,364388,Goal reach in 0.2 months. Excellent budget discipline!
129,59152,283462,12048,16185,-25.6,1636,2012,-376,29171,0.49,0.51,500000,14.8,216538,268876,Goal reach in 14.8 months. Excellent budget discipline!
130,102541,182458,11526,9995,15.3,6465,6587,-122,56219,0.55,0.45,1000000,20.8,817542,154348,Goal reach in 20.8 months. Excellent budget discipline!
131,138592,475206,4163,5067,-17.8,13452,17217,-3765,37556,0.27,0.73,500000,4.0,24794,456428,Great! Shopping reduced by ₹3765. Goal reach in 4.0 months. Excellent budget discipline!
132,142507,387726,2470,3409,-27.5,20910,19769,1141,54464,0.38,0.62,500000,4.8,112274,360494,Goal reach in 4.8 months. Excellent budget discipline!
133,190638,219478,11309,9763,15.8,7469,9808,-2339,60935,0.32,0.68,1000000,7.4,780522,189010,Great! Shopping reduced by ₹2339. Goal reach in 7.4 months. Excellent budget discipline!
134,112251,446341,9000,6609,36.2,15087,18240,-3153,46828,0.42,0.58,50000,0.1,0,422927,Dining increased by 36%. Great! Shopping reduced by ₹3153. Goal reach in 0.1 months. Excellent budget discipline!
135,120490,451066,7605,8069,-5.8,23900,25870,-1970,52915,0.44,0.56,50000,0.1,0,424608,Goal reach in 0.1 months. Excellent budget discipline!
136,62201,150638,6768,8477,-20.2,18112,12868,5244,70655,1.14,0.0,500000,-1.0,500000,115310,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
137,68914,17237,5068,3215,57.6,2323,2239,84,49541,0.72,0.28,50000,2.4,32763,-7534,Dining increased by 58%. Goal reach in 2.4 months. High risk: Expense ratio at 70%+. Reduce wants.
138,108434,266821,2733,3602,-24.1,8597,9016,-419,43753,0.4,0.6,1000000,14.6,733179,244944,Goal reach in 14.6 months. Excellent budget discipline!
139,89172,165590,9088,6242,45.6,18238,17125,1113,62839,0.7,0.3,50000,0.6,0,134170,Dining increased by 46%. Goal reach in 0.6 months. High risk: Expense ratio at 70%+. Reduce wants.
140,159292,214177,12131,8572,41.5,24113,21459,2654,59114,0.37,0.63,100000,0.6,0,184620,Dining increased by 42%. Goal reach in 0.6 months. Excellent budget discipline!
141,186957,188516,7754,8574,-9.6,12114,8884,3230,27934,0.15,0.85,100000,0.4,0,174549,Goal reach in 0.4 months. Excellent budget discipline!
142,35491,307233,2328,1852,25.7,5956,7915,-1959,42605,1.2,0.0,1000000,-1.0,1000000,285930,Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
143,136208,42024,3201,2760,16.0,3564,4918,-1354,16633,0.12,0.88,1000000,8.3,957976,33708,Goal reach in 8.3 months. Excellent budget discipline!
144,162225,480312,8246,10317,-20.1,3026,2005,1021,28700,0.18,0.82,500000,3.0,19688,465962,Goal reach in 3.0 months. Excellent budget discipline!
145,122552,223112,2280,3094,-26.3,16333,17909,-1576,31812,0.26,0.74,50000,0.1,0,207206,Goal reach in 0.1 months. Excellent budget discipline!
146,62412,321453,9749,9885,-1.4,11995,16481,-4486,50714,0.81,0.19,500000,37.2,178547,296096,Great! Shopping reduced by ₹4486. Goal reach in 37.2 months. High risk: Expense ratio at 70%+. Reduce wants.
147,120049,331128,2539,3307,-23.2,10268,9881,387,34058,0.28,0.72,50000,0.1,0,314099,Goal reach in 0.1 months. Excellent budget discipline!
148,44731,163885,5727,7033,-18.6,5104,3991,1113,27770,0.62,0.38,100000,4.0,0,150000,Goal reach in 4.0 months. Excellent budget discipline!
149,145079,446218,8377,5711,46.7,17762,18221,-459,38809,0.27,0.73,50000,0.1,0,426814,Dining increased by 47%. Goal reach in 0.1 months. Excellent budget discipline!
150,101004,449804,14514,12810,13.3,15482,9878,5604,61489,0.61,0.39,50000,0.1,0,419060,Goal reach in 0.1 months. Excellent budget discipline!
151,107020,426663,13117,9240,42.0,22731,29174,-6443,69788,0.65,0.35,500000,11.1,73337,391769,Dining increased by 42%. Great! Shopping reduced by ₹6443. Goal reach in 11.1 months. Excellent budget discipline!
152,65296,14104,13729,17977,-23.6,17967,16878,1089,53757,0.82,0.18,50000,4.1,35896,-12774,Goal reach in 4.1 months. High risk: Expense ratio at 70%+. Reduce wants.
153,128485,63775,8881,6706,32.4,21222,27381,-6159,53908,0.42,0.58,1000000,13.2,936225,36821,Dining increased by 32%. Great! Shopping reduced by ₹6159. Goal reach in 13.2 months. Excellent budget discipline!
154,86890,218518,14100,19440,-27.5,6757,6263,494,66949,0.77,0.23,1000000,48.0,781482,185044,Goal reach in 48.0 months. High risk: Expense ratio at 70%+. Reduce wants.
155,99319,103535,7415,5104,45.3,19537,19411,126,69616,0.7,0.3,100000,2.7,0,68727,Dining increased by 45%. Goal reach in 2.7 months. High risk: Expense ratio at 70%+. Reduce wants.
156,193071,129371,3004,3277,-8.3,7315,8432,-1117,47794,0.25,0.75,1000000,6.7,870629,105474,Goal reach in 6.7 months. Excellent budget discipline!
157,141091,62721,10540,13490,-21.9,14173,9807,4366,40068,0.28,0.72,50000,0.4,0,42687,Goal reach in 0.4 months. Excellent budget discipline!
158,183665,286868,4704,6116,-23.1,14274,13153,1121,33062,0.18,0.82,50000,0.1,0,270337,Goal reach in 0.1 months. Excellent budget discipline!
159,144083,104249,12038,11068,8.8,21682,18474,3208,48551,0.34,0.66,50000,0.3,0,79974,Goal reach in 0.3 months. Excellent budget discipline!
160,89181,127840,11455,13142,-12.8,11728,13508,-1780,32969,0.37,0.63,500000,8.4,372160,111356,Goal reach in 8.4 months. Excellent budget discipline!
161,80705,443364,3685,3150,17.0,11189,11545,-356,54089,0.67,0.33,500000,15.5,56636,416320,Goal reach in 15.5 months. Excellent budget discipline!
162,57731,297787,8050,7142,12.7,15848,10286,5562,44689,0.77,0.23,500000,33.8,202213,275442,Goal reach in 33.8 months. High risk: Expense ratio at 70%+. Reduce wants.
163,105619,84515,11472,11458,0.1,7131,7780,-649,43428,0.41,0.59,500000,7.8,415485,62801,Goal reach in 7.8 months. Excellent budget discipline!
