user_id,monthly_income,current_balance,food_expense_monthly,transport_expense_monthly,shopping_expense_monthly,utilities_expense_monthly,rent_bill_upcoming,internet_bill_upcoming,electricity_bill_upcoming,subscription_netflix,subscription_spotify,subscription_prime,other_upcoming_bills,predicted_balance_15_days
36,76886,38945,4686,3051,4953,1495,21940,680,1288,0,0,0,4574,41813.5
37,86803,49937,9188,2467,13551,3995,24450,1264,2924,199,119,599,390,48793.0
38,51551,8476,7778,4388,9680,1093,7161,524,1818,199,0,299,4507,8274.0
39,31394,53756,9768,5316,9322,5720,16821,848,3859,199,0,299,1281,31083.0
40,89092,4382,7013,3231,14318,5324,12586,1136,3825,649,119,0,4964,10706.0
41,23890,51683,6512,3129,4275,6510,3286,1042,2981,199,179,299,506,44923.0
42,61606,47276,2415,2464,354,1720,6247,1248,3048,499,179,0,1722,61659.5
43,116276,35402,11663,1557,5029,6075,13794,726,3656,649,179,299,957,61118.0
44,100038,28946,6180,5331,2774,5362,8099,847,3068,0,119,299,1734,54975.5
45,107313,75933,6262,1257,588,6099,19387,537,1061,649,119,299,762,99672.5
46,30627,24335,4515,2295,14048,5376,19061,882,1012,199,119,299,2555,2404.5
47,28792,47095,11287,2143,604,5026,3411,1069,1015,649,0,599,2611,42607.0
48,93969,29197,11001,5349,10420,5055,23729,735,2039,649,179,599,3693,28646.0
49,63001,24010,7640,523,8365,6057,23111,680,3044,649,119,599,1759,14257.0
50,96552,26123,8616,1739,14689,2106,16798,613,3149,649,119,0,2889,36607.0
51,43897,4890,2992,4650,353,6305,18704,805,3562,499,179,599,1342,-6001.5
52,88148,10026,11473,3597,11482,4932,13109,631,1685,649,179,599,4080,17426.0
53,43483,66925,6370,1804,5434,4722,4356,847,1166,199,0,599,1636,70698.5
54,68555,70842,3773,5565,433,2371,11349,679,2050,0,179,299,3509,80983.5
55,37159,35665,5561,3042,11144,1422,20984,914,2912,499,119,299,549,17384.0
56,100077,11277,5816,4212,14617,3005,8706,1482,2067,649,0,299,2005,32282.5
57,55920,44239,8633,4455,8450,5549,14681,1089,1948,0,179,299,2183,38276.5
58,112067,49664,3756,5029,867,5602,24943,1231,1466,499,0,299,2565,67067.5
59,87121,50008,4373,4803,10798,6261,10196,1153,2480,199,119,599,758,64947.0
60,89479,16683,4576,4728,14340,5411,24457,884,2098,199,119,599,323,18216.0
61,109475,2670,11083,5958,11837,6795,21766,1011,2480,0,119,299,1925,11971.0
62,39457,19889,6184,5815,14291,1763,16549,542,863,649,119,299,110,6460.0
63,86557,57612,10899,5881,8787,6351,19536,979,607,0,0,599,1823,61387.5
64,97189,46535,4397,1805,5764,4368,12821,617,3585,499,0,599,3621,65220.5
65,98953,56319,7969,4964,393,1897,5796,1070,3594,0,119,299,1138,86168.0
66,72995,23639,6535,3674,12623,1952,14073,560,1122,0,0,0,1720,30269.5
67,60757,66712,8883,5802,10302,3922,10282,1052,820,649,119,299,723,68692.0
68,29692,18633,10127,4128,12056,6691,9951,1285,1009,199,119,599,2412,1404.0
69,65758,36660,11168,1281,12331,5479,22189,687,3219,649,179,0,766,26720.5
70,92409,70975,2734,1066,10392,4197,7080,952,1564,199,0,299,4927,92964.0
71,91211,34172,2632,5122,12189,5198,14662,1346,803,649,179,599,3381,45588.0
72,85697,61197,6268,4632,12045,1899,12247,686,1468,199,119,599,2160,74145.5
73,57065,60847,6099,4773,13141,5023,13771,1437,1938,649,179,599,1293,54995.5
74,112093,13577,4901,1138,3754,5205,13957,963,1917,199,119,299,2367,42303.5
75,119299,79299,3663,4200,4370,4641,4328,1239,2912,199,119,299,4017,117398.5
76,52606,22176,7591,4667,11621,4543,15236,663,3285,199,119,0,4270,10496.0
77,31534,46386,5872,2899,4521,6591,21776,923,1488,199,0,599,1958,25268.5
78,114663,65972,3054,3170,7699,4641,6153,1297,3568,649,119,599,4221,97415.5
79,60397,43003,10572,1672,4578,5765,3166,601,2699,499,119,0,994,53830.0
80,111387,21996,5082,2220,8405,4090,17652,1482,758,199,0,299,1851,45550.0
81,21016,37931,10007,604,2126,5479,22638,766,3254,199,0,599,2976,8899.0
82,109789,37710,11784,2182,8330,1761,24444,1135,2474,199,119,0,3871,48334.0
83,75591,36693,6261,4816,13237,3407,18233,652,2770,199,0,599,3223,34952.0
84,109812,37740,4389,2349,4193,1885,4885,928,1789,199,119,299,4010,74009.0
85,43247,79241,5553,1362,3960,3643,23752,1190,729,0,179,299,4294,63162.5
86,44300,78502,7138,3945,663,4243,17708,926,2986,0,0,0,1222,69815.5
87,94065,19374,11399,3065,14533,2235,10529,1077,649,199,179,0,4782,33375.5
88,102798,78674,2544,798,2832,3933,3899,1110,1409,199,119,599,1476,116208.5
89,29268,47913,5663,3408,14491,6110,5248,1442,1477,199,0,299,4877,34169.0
90,106807,68025,4239,4637,9265,2468,14455,1035,3707,499,0,299,940,90189.0
91,32185,46516,5773,1270,4574,1009,6412,832,1134,649,119,0,3251,43898.5
92,83704,28069,4627,3039,6371,6661,14769,1260,2393,199,0,0,817,40134.0
93,106779,58233,8618,1962,12214,1791,18947,1176,2946,499,0,599,3916,71247.0
94,59099,61049,8780,4354,7624,6174,13379,1395,1121,499,0,299,2070,58369.5
95,28571,41178,10015,3618,14857,2662,9449,939,2690,199,179,599,636,25196.5
96,58044,34821,5130,2632,6292,1743,12411,1105,1447,649,119,599,4806,34808.5
97,71214,53727,2096,2209,5177,3428,6132,1470,1593,0,119,0,2376,71189.0
98,81228,62935,5858,1490,8353,4493,11155,1354,553,199,119,299,3675,76098.0
99,68984,18999,4708,1210,7006,5546,11136,623,1343,199,0,0,3401,27554.0
100,60774,64522,7397,4804,9692,2116,3359,801,3485,0,0,599,2520,72140.5
101,22568,40712,8152,5867,3178,3441,9450,1167,3974,649,0,599,2525,23313.0
102,82592,66551,2456,5830,5546,2354,13231,848,3099,0,119,299,2635,79523.0
103,87563,42172,7914,538,4490,6827,14346,748,3598,199,179,299,4214,52486.0
104,22695,35722,6368,1775,4896,3480,17852,1447,2365,199,119,299,259,16270.0
105,68190,12625,6088,5357,185,4001,20114,770,798,499,119,299,2996,13309.5
106,25258,69165,11223,1936,4653,2186,10067,928,3239,0,179,0,755,56627.0
107,107538,78509,10399,3493,1980,5087,12689,1069,3105,499,0,0,4101,100335.5
108,59504,8859,3937,1969,4541,6003,20801,1206,3891,499,0,0,65,3924.0
109,53159,43609,3146,2599,7808,3831,10767,1212,944,499,119,0,4077,43878.5
110,33986,45307,7152,873,12180,4661,6763,1083,597,499,179,599,2778,37369.0
111,81858,23839,6299,5526,829,2748,9928,746,3697,0,119,0,1169,41408.0
112,32666,29216,10118,4751,3519,3863,3878,980,2605,0,119,0,4124,22717.5
113,58660,54953,10634,4525,14422,2114,24866,597,676,0,179,299,1666,40152.5
114,23561,62593,9759,1613,13560,6603,22268,828,1218,199,179,599,659,32656.0
115,46854,74075,9953,3226,8008,4264,13787,1092,1808,649,0,0,4995,62445.5
116,84505,51522,6784,2898,11703,6372,21681,924,2538,499,119,599,4999,48537.0
117,72251,6886,11024,3734,11520,6909,11852,1076,3213,199,179,599,3541,5759.0
118,42662,9485,3461,1765,11540,6774,14336,923,3598,0,179,599,360,-949.0
119,28392,33455,3159,3623,5909,6363,16487,504,822,0,179,599,3797,15736.0
120,50535,18767,2386,1153,10677,4090,10371,1489,3222,199,179,299,2073,17049.5
121,98603,30453,9192,4658,12803,2063,23369,958,3821,499,119,299,3361,32970.5
122,72256,78280,11910,1008,13888,6729,4269,1295,2223,0,119,599,2118,87017.5
123,109135,55442,6775,2839,13234,6152,15898,1305,1893,499,119,599,3933,71263.5
124,55222,53877,5409,3662,1225,4748,20678,1092,2489,499,179,599,3760,44670.0
125,97373,14226,2689,2187,13886,5545,20393,997,1345,649,0,299,176,26900.0
126,99575,24588,9028,1888,5774,3732,13283,586,589,0,179,299,4040,45188.5
127,116354,33709,9262,2697,13043,2872,21141,901,630,199,119,599,1312,53048.0
128,104651,49788,7664,4411,2844,5720,13156,792,1552,649,119,599,4670,70257.0
129,83335,39019,8766,5890,7347,2969,15835,1422,3209,499,119,599,3999,42518.5
130,30965,46948,11361,3428,2733,1884,12383,780,3657,199,0,599,3047,32062.5
131,44538,67133,2952,5735,4420,4963,9578,696,2605,649,0,299,530,66010.0
132,90592,68458,8142,5299,3996,4678,12245,1263,1580,649,119,0,3555,83285.5
133,118018,29526,7967,1015,10862,1318,22225,582,1493,649,179,0,3505,49321.0
134,28110,75493,9205,4158,12974,4816,8716,526,1917,499,119,299,4588,57307.5
135,99309,54198,4484,2333,9690,4717,21788,1344,3596,499,119,299,3417,62178.5
136,47266,45395,3854,5860,1688,4195,22946,1193,689,0,0,0,3650,32751.5
137,72992,26031,5231,529,14287,6491,13014,634,3506,649,0,0,1261,30194.0
138,102948,77542,4597,3714,2447,2374,20655,589,2623,199,0,0,2886,95498.0
139,118806,39701,9829,825,867,6442,18120,705,2918,499,0,599,4942,62339.5
140,26910,27939,10186,4266,12504,1487,5768,526,1398,649,119,0,4388,14324.5
141,110982,51145,5983,4611,6952,1450,18741,877,3398,199,179,0,255,73489.0
142,20206,22324,8963,610,11200,1352,12751,1070,2260,499,119,599,1778,2288.5
143,107054,24867,8684,606,11716,6235,11928,1083,1005,199,119,599,4760,45080.5
144,107897,2203,2656,2926,13288,2940,9142,914,2466,199,179,299,4360,27687.5
145,43419,18544,9743,4878,6084,3367,16187,726,682,0,119,599,1980,7924.5
146,70636,17899,8839,4864,13219,4236,21312,1102,653,499,179,0,1587,12306.0
147,70015,31063,11988,3031,10204,1247,19257,567,1792,499,0,599,3552,26569.5
148,74268,5748,8312,3644,8431,4503,8413,861,3450,499,0,299,400,16515.0
149,107939,68629,9938,5816,5305,1567,5190,759,2453,499,0,0,4872,97512.5
150,38141,22884,11954,5862,8239,1683,4002,1157,3849,0,179,299,3637,14962.5
151,100356,27183,8176,5193,4049,1643,14177,562,3911,0,119,299,1214,47548.5
152,91910,73246,5285,1298,3457,1478,13114,1354,1546,649,0,299,1147,95333.0
153,76044,21259,11777,5878,11471,3760,11094,1491,3073,499,0,599,3948,22134.0
154,87214,37959,7559,5768,3228,5463,6752,1471,1105,199,119,599,2450,57862.0
155,53827,35457,5563,2937,1248,6940,23521,1191,1866,0,0,299,3393,23756.5
156,75820,4103,6584,2511,1167,5452,23086,1479,3426,199,0,299,3142,2525.0
157,82623,67901,6817,925,3490,2368,7438,1122,3623,199,179,299,873,88679.5
158,101734,46535,7041,3544,13162,3226,7427,1202,2886,199,119,299,373,71410.5
159,95450,18103,8182,3788,1897,4496,8556,1440,2458,649,179,599,1194,41571.5
160,113426,14391,10026,3414,11728,4612,11532,1407,1564,649,0,599,3527,36936.0
161,42299,30901,5244,1739,2179,6562,21772,891,2199,499,0,299,4957,13571.5
162,63585,69914,3040,3891,12912,5007,9992,745,1017,0,119,599,3481,73328.5
163,84044,52357,4273,4713,5955,2842,21084,777,2954,499,0,0,4396,55777.5
164,62557,40437,5629,4497,10162,4377,18319,846,637,649,179,599,2149,36005.0
165,69080,37503,4114,3506,12888,3414,8383,1436,1622,649,179,299,2057,45457.0
166,22693,77403,9364,3539,2720,2059,4233,871,2888,199,119,599,3112,67887.5
167,115003,43258,3677,1098,10573,2644,21682,1308,1839,499,119,0,2417,63899.5
168,115259,35724,5094,2587,1943,5923,18577,1348,3089,199,0,0,125,62242.0
169,89163,66286,11190,1684,11338,6265,13990,622,2772,649,119,599,2832,74046.0
170,45939,76842,7873,3250,5912,2811,17789,556,2808,499,119,0,4478,63639.5
171,68925,16908,4284,3084,11675,3193,5930,659,3818,499,0,0,449,28897.5
172,62941,52626,7052,5259,7686,3427,15112,626,1602,0,0,599,4618,49827.5
173,41834,39228,9062,4013,3696,1167,15374,1236,1196,649,179,599,1009,30934.0
174,38047,25386,3589,5245,14371,5182,21217,1106,1310,649,179,599,3778,1378.0
175,46105,48754,11353,4554,2825,1153,21523,810,972,0,119,299,941,37200.0
176,95766,30302,4520,4883,13936,3544,18563,1017,576,649,0,299,3603,40036.5
177,35707,62815,6648,4436,10019,4868,13425,1434,2809,199,119,0,3980,45717.0
178,41976,65344,7729,2199,8414,1314,13042,764,1525,199,179,0,4368,56427.0
179,64262,37618,2694,5007,1746,6950,13395,1245,2564,199,119,599,501,42928.5
180,43776,78234,9807,3075,529,1722,5208,787,843,499,179,0,3818,81221.5
181,50080,63114,5683,5637,6384,4631,10553,919,3583,199,179,599,1250,59704.5
182,86842,72130,8704,635,8325,6949,16796,1395,1439,649,119,299,2388,80159.5
183,81373,27525,9368,2525,11995,4345,8622,1027,3241,0,179,599,2319,38108.0
184,26776,16334,3971,4035,4486,6825,23074,639,1345,199,179,0,3195,-8567.5
185,112787,64767,11695,5354,101,3811,21993,1308,1530,199,0,599,2957,82094.0
186,75016,8644,10055,5867,14328,3309,3223,1206,2793,499,119,599,1196,19737.5
187,29474,34933,6218,3390,3723,3501,18003,1197,1485,649,119,599,3274,15928.0
188,78053,45469,3868,3257,2728,4333,17728,1486,3728,0,119,0,1056,53285.5
189,41959,35687,3671,5620,2545,6224,17743,974,673,649,179,599,2258,24561.5
190,25530,54656,11274,4273,2558,3023,23158,1404,1345,199,179,599,4908,25065.0
191,114856,19375,3728,880,6846,1349,17007,1136,1192,649,179,0,3048,47190.5
192,23748,67206,9632,2028,11233,1823,15584,1028,1508,0,119,299,3122,45062.0
193,117504,38607,8403,5401,10192,1437,11514,1377,2828,199,0,299,1906,66519.5
194,118098,25993,8092,5071,948,1168,19175,888,1832,649,119,0,2939,51800.5
195,33545,46386,4142,4128,9760,4819,8973,1010,3537,0,119,299,3478,34318.0
196,86199,48287,11340,5549,4936,4414,12703,1037,736,199,119,599,540,62334.0
197,54766,78312,8184,1348,2053,4301,21470,712,2704,199,0,0,517,72150.0
198,93530,77324,8010,5492,11197,5118,10663,1396,1774,649,119,599,4228,89752.5
199,113557,73196,2253,4627,193,4035,24845,1012,3570,499,0,599,423,93472.5
200,81087,72014,6102,2427,8933,5376,19241,1302,1744,499,0,0,857,77495.5
201,115839,10210,5542,2665,7304,4590,5287,764,837,0,119,599,4177,46296.0
202,88840,12922,4775,4786,12098,3769,11878,842,3794,649,119,0,2836,24510.0
203,74384,38289,9678,2621,2959,3300,13209,537,1734,0,119,599,1752,48252.0
204,71005,35340,8212,5218,12760,5499,7835,732,836,649,179,299,1666,42802.0
205,66576,41850,6637,5722,10455,3180,5534,759,1657,0,0,599,1863,51729.0
206,59353,58984,8034,3418,8174,4345,14004,807,2367,0,119,599,4461,54318.0
207,82003,13094,10457,5181,11612,3665,24914,902,3318,649,0,0,2413,6442.0
208,103211,35418,8476,972,2923,1231,3622,1496,994,499,179,299,2118,71015.5
209,72733,7741,5148,2287,11446,3592,13975,760,1046,0,179,599,4421,11891.0
210,85318,74374,5359,613,3239,5174,15585,975,3754,649,119,599,1349,86810.5
211,109474,70798,3004,5998,3865,2058,20459,1249,660,649,0,299,2891,91865.5
212,43664,72532,6717,1836,8229,3542,9876,605,2536,649,179,299,1070,68988.0
213,87172,24164,5271,838,9890,2133,18336,746,3152,199,179,299,1753,34020.0
214,105616,37595,2209,2785,4566,6440,16599,803,2934,649,0,299,2136,58983.0
215,113264,32257,11079,1696,6595,4646,14138,842,3768,649,179,299,3858,53148.0
216,46736,16211,7539,578,12218,3375,24621,946,2241,199,0,599,1420,-2302.0
217,114209,7232,2153,5059,5609,4880,23378,537,2007,199,119,299,3487,25460.0
218,20854,69753,5593,3152,3213,3737,5694,1319,2025,499,0,299,2941,59555.5
219,110084,54691,10606,5157,5108,3431,23688,1354,1487,649,119,599,4265,65421.0
220,58623,27613,3284,4880,1783,2387,22582,545,1875,0,0,0,1388,24367.5
221,27392,16026,5148,4818,10158,4303,24796,1221,2053,199,179,599,619,-12157.5
222,75680,55535,2768,3140,8294,6735,11710,1104,2781,199,119,0,3399,63594.5
223,66717,32908,11174,5885,5830,2437,23817,719,2523,499,0,299,1256,24490.5
224,107092,54113,7607,1756,5831,4365,13061,755,2417,499,119,0,4777,76251.5
225,70859,21610,5202,1327,41,5642,6810,636,2368,499,0,599,3718,36303.5
226,46309,48646,4787,3218,11186,2729,3912,730,2101,649,0,0,1010,52438.5
227,107455,65185,4210,5423,11410,3439,7902,1317,3980,649,119,0,2683,90021.5
228,83734,74567,11230,3310,6209,4173,22572,1213,1799,649,119,0,425,77196.0
229,90467,49574,9399,3885,11182,4907,22612,1077,1210,199,119,299,4024,50581.0
230,72662,38182,8338,2465,12480,2316,19955,1472,3006,499,179,599,216,35787.5
231,118506,2570,10733,2927,11561,6204,13663,537,1976,199,0,0,609,29126.5
232,32688,21288,2358,3341,1061,6004,16967,654,2960,0,0,299,4453,5917.0
233,45342,31877,2849,1113,10741,6320,18008,1002,1541,649,119,599,185,21933.5
234,57157,2917,9498,1062,9868,1684,10768,604,571,199,0,599,724,6974.5
235,87863,77602,6522,5326,3689,3588,8135,754,2925,0,0,599,4965,94593.0
236,72083,66575,4544,4852,7595,4543,17072,903,2546,199,0,599,823,69707.5
237,85733,74518,3831,684,6807,4087,11289,987,3229,0,119,299,1767,91990.0
238,109045,41104,3472,2692,14687,2675,23417,1457,3381,199,0,599,1977,52833.5
239,54698,20062,11628,4565,3997,3113,21023,957,1878,199,0,0,4774,6928.5
240,100623,18999,2329,745,325,1957,9443,1027,2317,649,179,599,3889,48529.5
241,42671,63845,7851,4586,7205,6778,7842,1090,2698,199,179,599,1184,58179.5
242,45184,11941,9032,2734,1120,4543,24925,1024,3832,199,119,299,4379,-8958.5
243,113384,63169,7266,1365,107,6700,7027,869,1603,499,0,0,183,101961.0
244,62107,25470,6354,2587,10870,4094,3260,601,3677,199,0,0,3608,33226.0
245,106202,61821,8435,1100,6294,5797,12127,1415,3974,649,179,299,3766,81700.0
246,71663,46435,9978,5557,5193,3807,21181,1163,1219,199,119,299,1619,44200.0
247,35708,6529,6238,3533,7224,1820,19715,1189,2515,649,119,0,4326,-13537.5
248,111906,14192,8112,2556,8526,1887,7210,1402,2431,499,0,0,2435,45627.5
249,69811,76102,6722,2631,14230,4728,21443,1098,2677,649,179,599,734,69473.0
250,22811,74762,3388,1032,2039,6424,3072,1099,1694,499,179,299,157,72727.0
251,76250,36087,6185,5584,803,4993,8111,1040,905,499,179,0,1341,53354.5
252,92082,68677,10911,2542,10040,4084,5921,1011,2445,499,0,0,3492,87561.5
253,54754,6627,5235,857,766,1875,13645,888,1556,499,0,299,3254,9496.5
254,115742,58541,6576,877,13565,5261,6888,862,1035,499,0,299,1075,92614.5
255,31411,70226,3100,2719,13696,6269,3177,1430,2744,649,179,0,1861,62999.5
256,22911,5255,10864,5644,3527,4996,21383,1332,3464,499,119,299,2629,-25530.0
257,87270,59433,10708,4988,2306,1556,10426,1111,1569,499,0,0,4999,74685.0
258,103763,7213,4532,5722,11021,6293,7495,614,773,499,0,0,2964,32965.5
259,28680,21404,9770,5297,1488,3214,3269,1221,2266,499,119,599,888,16998.5
260,104896,27380,5670,3807,4129,1708,13047,1465,632,499,119,599,1133,54677.0
261,103879,21173,2781,3096,11758,1717,21039,842,763,0,179,299,4238,36076.5
262,91295,55027,5523,1283,2373,4665,5533,573,866,199,0,299,4302,81980.5
263,108614,25989,8131,2879,9028,6699,18939,634,3372,199,179,0,165,43439.5
264,31111,26519,6782,4103,3309,3144,15346,1439,2552,499,0,599,3756,9214.5
265,57504,24439,11781,1482,6834,6196,24366,1467,2816,499,179,299,4489,5929.5
266,21802,78949,6995,4442,14312,3019,23745,1280,1350,0,179,0,120,48792.0
267,28155,16995,3501,3090,5735,6356,13314,1361,3280,499,119,599,2997,-437.5
268,93656,25559,5080,1542,11804,4779,14353,1477,2229,0,0,0,4508,38217.5
269,59384,7021,11268,5767,4834,1290,21788,1089,1944,199,119,599,3211,-3815.5
270,67254,23119,11292,3038,13777,3183,5201,1470,1869,649,119,0,1975,29818.0
271,41918,53539,2502,1361,10983,4879,8659,879,2448,199,119,599,3155,48577.5
272,105981,41350,11531,2376,13615,3936,4153,989,2616,649,0,0,420,69784.5
273,80713,48223,5885,2335,14173,3414,7161,624,3347,649,179,0,1729,61987.0
274,50306,27517,10009,4708,6990,3295,18503,537,857,649,179,299,2835,16310.0
275,36646,24250,2623,4026,12404,3813,20720,1280,2211,499,0,599,4363,1468.0
276,66843,68798,3050,2185,3983,2237,6478,809,1909,0,0,599,2085,84612.0
277,116601,56199,9385,3901,3768,3117,19660,605,824,649,179,299,2385,79813.0
278,110735,61546,8081,2122,1504,5841,22864,1055,1250,0,179,299,1777,80715.5
279,36371,5327,7484,5457,6793,4043,5361,724,3750,199,119,0,2377,-906.0
280,97371,31768,5772,3157,2450,4087,24752,741,755,649,179,599,4294,40751.5
281,22049,66418,5916,2432,11236,4558,13160,896,2966,199,119,0,2857,45174.5
282,51616,44788,6018,1007,2033,6293,5446,652,2758,0,179,0,4100,49785.5
283,40932,48830,3329,5061,8002,1698,14931,1035,1410,0,179,0,1455,41241.0
284,49855,54446,6114,3978,9891,3853,10601,1135,1083,199,179,299,988,52971.5
285,81434,17160,5367,3156,6019,4808,8051,1296,3938,0,119,599,4990,29209.0
286,92694,58583,10095,1621,13898,5619,6517,1495,1076,199,119,299,1890,77718.5
287,63016,35998,7141,789,10472,2845,7802,1465,2713,0,179,299,2482,41942.5
288,27400,29230,5951,3329,1307,6119,15390,901,2761,499,119,599,649,13659.0
289,62642,11076,7084,2709,10719,5014,21759,1359,3076,199,119,599,1828,695.0
290,35151,71341,3573,5312,12030,4182,10850,1272,2371,649,119,299,2428,58380.0
291,71407,33085,4634,1900,975,1463,9744,645,3744,649,119,299,4674,44428.5
292,86690,57571,4768,1066,10248,4860,18417,690,1652,649,0,299,2317,66421.0
293,24499,16715,7302,1973,13002,6760,9248,1392,2550,0,119,599,46,492.0
294,26295,7750,8250,5589,14213,1450,20355,1176,1394,199,179,599,4460,-22215.5
295,79040,37903,3211,5736,10618,6515,18428,1082,3443,0,119,0,2115,39196.0
296,32183,74489,10967,2487,11866,2915,10136,1450,2283,649,179,599,2254,58913.0
297,49299,34093,7955,4287,10620,1923,12517,700,1593,499,119,299,72,30551.0
298,32874,36314,3160,4365,4939,4622,14800,1366,2599,649,179,599,3457,20559.0
299,52711,50225,7977,3760,3733,1315,23344,511,936,649,0,599,2022,40127.0
300,25539,37179,9041,4047,8551,5766,22470,551,3949,649,179,599,4085,3764.0
301,73351,27338,4383,3751,2223,5793,16417,1452,1521,499,119,299,2077,33554.5
302,81267,71681,7876,5800,484,6088,6967,1267,2641,499,119,0,1026,89671.5
303,68354,34101,5540,5554,1428,2376,15361,801,3134,199,179,0,1543,39612.0
304,22557,4775,6635,2216,2080,3815,7951,1371,3150,499,0,299,4616,-9205.5
305,58360,47619,3095,1512,13776,2262,7002,799,2633,199,119,299,4496,50929.5
306,102018,47838,7901,1810,695,2127,5332,1498,1017,499,119,0,2036,82079.5
307,22200,21539,10215,5070,6300,6002,14460,1419,1241,199,179,299,4749,-3700.5
308,88497,59124,3079,1117,4660,3925,7375,1020,2524,649,179,599,847,83789.0
309,66975,67149,10370,5236,14119,2052,3685,639,2977,499,0,599,4080,72269.0
310,41357,28616,4847,4757,201,5184,23272,599,1362,0,179,0,1495,14893.0
311,97505,56567,3960,2482,12049,3422,20352,984,2541,0,119,599,934,68834.0
312,22869,39099,3473,2728,9390,4468,5033,636,3376,199,179,0,1395,29686.0
313,81135,77831,6888,5320,9459,6682,10075,1370,542,499,0,299,538,90901.0
314,70108,63799,6979,968,11162,5459,24645,865,2347,499,0,0,3419,54794.0
315,114179,27479,3212,4616,13757,5021,17647,1383,2233,0,119,0,70,49813.5
316,110272,48172,7697,4855,8265,5409,3645,1033,3941,499,179,599,255,80044.0
317,58467,57863,11001,1639,8287,1547,7121,1006,903,499,119,0,2194,64017.5
318,43328,44043,2419,1936,14184,5891,11112,1156,1826,199,0,0,901,38298.0
319,111412,17408,5659,1036,12460,4523,12271,660,1705,649,0,0,669,45321.0
320,106831,59980,7283,1451,14210,2529,9436,1260,2716,0,179,299,1883,84886.0
321,23987,18351,11470,3313,3477,6605,15517,674,2750,649,179,599,139,-2595.0
322,78871,6131,11632,3506,2202,1106,13292,587,3253,499,119,599,2702,15292.5
323,42399,46825,3340,4494,7490,1856,11292,898,3090,499,0,0,2668,40987.5
324,66214,13349,7137,2340,14624,3984,8586,1488,2649,199,119,0,1446,17926.5
325,119522,62931,7189,1350,8449,5386,3868,979,2099,649,119,299,2918,100574.0
326,106416,46254,3361,2471,11850,6468,17602,1044,2893,649,119,599,3903,60578.0
