user_id,monthly_income,current_balance,food_expense_monthly,transport_expense_monthly,shopping_expense_monthly,utilities_expense_monthly,rent_bill_upcoming,internet_bill_upcoming,electricity_bill_upcoming,subscription_netflix,subscription_spotify,subscription_prime,other_upcoming_bills,predicted_balance_15_days,last_month_dining,last_month_shopping
142,97797,171822,2328,2378,16954,8247,25000,800,3174,0,0,299,3290,124305.5,1967.86,17829.51
143,123073,77052,2051,7931,18709,5311,12000,800,3489,199,0,0,3093,40470.0,2309.04,23235.78
144,79457,153002,8636,1366,21746,6163,8000,800,1197,499,119,299,3692,119440.5,11055.08,16839.47
145,54381,121179,9143,7374,3250,9998,0,800,2226,649,179,0,3481,98961.5,8350.91,2934.56
146,132129,194267,5324,4923,4135,2795,12000,800,2198,649,179,599,1313,167940.5,5740.72,2976.31
147,30181,182984,13836,1852,20310,2772,35000,800,3853,499,179,299,134,122835.0,17360.65,23645.99
148,126968,117320,7517,4785,4102,8608,25000,800,2589,649,119,299,2738,72620.0,9485.64,3963.45
149,107866,27293,11985,2776,18960,5328,0,800,3478,649,119,599,1229,894.5,8675.67,19363.21
150,79455,183804,10298,2101,18906,7869,0,800,1648,199,0,299,4447,156824.0,8639.92,23416.91
151,59600,125366,10852,6360,3051,6151,35000,800,2604,0,119,0,1198,72438.0,8556.72,3461.84
152,91966,144137,8285,1698,1886,8389,12000,800,2455,199,119,299,392,117744.0,6199.13,1715.04
153,20644,117705,3369,1977,2856,7086,8000,800,2711,0,119,0,164,98267.0,3991.21,2819.86
154,72851,66630,6727,1574,21841,8383,35000,800,1255,649,0,299,557,8807.5,8302.94,25083.63
155,130787,164966,5088,3725,5715,8536,8000,800,3304,0,0,299,3311,137720.0,5731.55,7252.1
156,80702,176532,3184,4546,24732,7236,8000,800,1774,649,179,599,2356,142326.0,3589.02,19891.91
157,121468,199500,4092,5867,17976,9956,25000,800,1850,649,179,299,1262,150515.5,5070.24,13655.2
158,29897,162666,11116,1845,13572,5570,0,800,3217,499,119,299,2420,139260.5,13528.32,17346.61
159,135172,87232,9349,6953,16147,9422,35000,800,1330,199,179,299,3196,25293.5,11559.75,13146.72
160,50276,167022,7104,3182,12308,5094,0,800,3584,649,119,599,4094,143333.0,8796.4,11458.65
161,147487,73410,12704,3700,16526,8560,25000,800,2114,199,179,0,4511,19862.0,15561.87,17233.1
162,140810,121953,5943,6628,1943,3617,8000,800,2518,199,179,299,2452,98440.5,6850.95,1739.43
163,70150,25161,5947,3266,21507,5224,25000,800,3312,649,179,0,1241,-23992.0,5355.2,23247.77
164,27090,120534,14748,7813,17252,3749,8000,800,3574,499,119,599,4374,80788.0,18154.19,16526.89
165,125550,160134,4193,1269,8537,8012,0,800,2913,499,119,599,1013,143185.5,3009.47,6020.95
166,94886,106359,3634,6818,3019,5252,35000,800,3401,0,0,599,2373,54824.5,2885.69,2278.1
167,44147,141029,14707,4843,1979,3292,35000,800,1523,199,119,0,4976,86001.5,18274.11,1896.14
168,44602,129623,14112,6776,3218,8485,25000,800,1037,0,0,599,3513,82378.5,16957.59,2780.91
169,90417,17098,8019,5985,21060,9528,0,800,3410,499,0,299,3173,-13379.0,9353.83,20408.92
170,123092,105332,14551,7682,23998,7675,35000,800,2410,499,179,0,2924,36567.0,10190.43,29353.92
171,50420,99348,8844,7230,23962,3290,35000,800,2011,199,179,0,4793,34703.0,6689.2,16923.85
172,77364,193122,13060,1759,2045,7864,12000,800,2929,0,179,0,846,164004.0,15059.68,1612.17
173,96273,11354,3700,7393,2200,8570,0,800,1851,499,179,0,1338,-4244.5,3067.05,2685.93
174,73892,86351,12104,2460,19850,8375,25000,800,3977,0,119,0,3447,31613.5,13008.59,21091.78
175,80077,134792,6524,4165,18565,3985,35000,800,2980,499,179,599,1418,76697.5,5514.64,19699.69
176,94988,36940,5003,7436,13666,5678,25000,800,1325,199,119,299,1917,-8610.5,3962.44,13016.57
177,131722,33985,6905,3854,7285,2222,35000,800,2710,499,0,299,2799,-18255.0,7595.5,5773.87
178,43816,11991,13268,2237,20847,5241,35000,800,1002,499,119,599,41,-46865.5,12038.02,25047.28
179,53317,121022,4440,6994,9679,9039,25000,800,3027,0,179,299,2697,73944.0,3841.41,11838.84
180,115687,68962,14627,3360,8928,4592,12000,800,3107,0,119,599,2195,34388.5,16341.38,7637.01
181,145335,39223,14171,7881,21684,7488,0,800,1619,649,179,599,4867,4898.0,14749.51,27015.19
182,76386,112940,13479,6418,4788,7354,8000,800,1377,649,119,299,702,84974.5,11890.4,5918.31
183,47014,178012,14367,1457,18637,7250,12000,800,2144,499,179,299,3949,137286.5,11403.91,20926.55
184,59622,37709,8839,6857,18928,8408,0,800,836,499,0,0,3677,10381.0,8573.28,15183.19
185,28579,114549,5650,7736,17259,8296,0,800,3164,499,179,599,1599,88238.5,5664.65,16640.15
186,29092,131274,7390,3308,23020,8915,25000,800,1359,499,179,599,3757,77764.5,6102.04,29739.23
187,76280,9362,10088,6073,24528,3069,25000,800,3372,0,0,599,2383,-44671.0,7546.96,29065.12
188,120758,131204,14829,3598,13925,5187,12000,800,2066,499,0,0,2569,94500.5,13466.5,13327.69
189,71019,162074,7070,4479,6659,5856,35000,800,3175,0,179,299,3259,107330.0,8654.42,8104.82
190,61616,126775,5256,1076,5531,3387,35000,800,1250,649,119,599,1075,79658.0,4966.73,4186.52
191,105226,13069,3777,4047,16317,4884,0,800,2976,649,119,599,4544,-11130.5,3875.36,19337.66
192,67788,58268,9998,6098,12388,4179,12000,800,3431,199,179,299,2945,22083.5,12390.5,10322.49
193,62537,16691,3866,3584,16723,6913,12000,800,3843,0,179,0,1640,-17314.0,4924.48,20713.81
194,65021,20030,8479,7119,11487,5230,8000,800,3620,649,179,599,1776,-11750.5,9925.03,11937.51
195,46145,50680,6219,2149,2857,3410,0,800,2605,499,0,0,1643,37815.5,5586.53,2462.08
196,102000,151891,13206,7093,9296,4064,0,800,1824,0,179,0,4669,127589.5,12853.5,8615.44
197,139989,8541,2421,2938,9141,6933,35000,800,3558,649,0,0,4003,-46185.5,3042.71,8521.47
198,58439,121999,10807,6871,12575,2809,25000,800,2343,0,179,0,950,76196.0,8922.7,12183.2
199,30651,119131,13277,2806,11108,7689,8000,800,1706,199,119,299,2867,87701.0,10114.2,10605.34
200,133591,188630,8431,1949,3107,4255,12000,800,1680,649,119,599,3479,160433.0,9937.44,2471.34
201,108879,39745,2353,3322,19174,9721,12000,800,3160,199,119,599,1581,4002.0,2204.37,22753.75
202,28670,86933,5418,7401,8766,4315,35000,800,3912,199,0,599,1305,32168.0,3917.36,10548.45
203,142503,123627,13051,5870,12111,3799,12000,800,3838,499,119,599,921,87435.5,13721.58,14108.82
204,126464,164065,6077,1852,6900,4807,8000,800,1228,649,119,299,1274,141878.0,6563.43,6030.07
205,23601,195112,12937,3762,3729,3810,8000,800,3992,0,0,0,2240,167961.0,10188.06,3822.74
206,99868,13019,2804,5940,4624,9049,35000,800,1052,649,119,599,2239,-38647.5,3058.39,4758.53
207,117164,31895,13611,3457,5199,5617,12000,800,3738,499,0,0,4600,-3684.0,15028.38,3662.59
208,139682,25124,9039,6511,3658,5347,35000,800,2217,0,0,599,4007,-29776.5,8363.51,3348.63
209,89959,148599,5823,2242,10816,3586,12000,800,1657,649,0,0,4421,117838.5,4513.05,8685.33
210,100971,39213,14747,7079,24186,2260,25000,800,3195,649,179,299,3391,-18436.0,18733.94,19001.76
211,70295,181817,3678,2493,21801,2364,35000,800,3520,499,0,0,4148,122682.0,4201.64,15480.09
212,98500,107404,13830,3409,10318,9045,0,800,1440,499,0,599,4757,81008.0,17461.95,8251.36
213,23180,135948,12644,5874,3360,4403,12000,800,3718,199,119,299,570,105102.5,16210.44,3598.01
214,101044,60310,4687,6196,11027,7925,25000,800,3773,0,119,0,592,15108.5,3883.34,13414.66
215,130210,12765,9271,3922,16072,9722,35000,800,1068,499,0,299,1705,-46099.5,7499.13,16477.7
216,62025,158710,13225,7293,10274,5836,8000,800,1757,199,119,299,3113,126109.0,16123.85,12790.63
217,75899,116585,9534,1044,10982,2137,12000,800,2339,649,0,0,2618,86330.5,9910.2,11902.32
218,100154,57746,10570,2665,22298,4407,35000,800,2101,0,119,0,1944,-2188.0,12793.07,20622.23
219,96231,49836,9960,3887,11533,8258,12000,800,1344,0,119,599,290,17865.0,12608.03,14376.32
220,125152,138611,3924,3661,16139,5604,8000,800,2040,499,0,299,1335,110974.0,3599.47,18524.23
221,87118,159225,12024,5831,22879,5435,35000,800,1641,0,179,299,562,97659.5,13083.08,26739.75
222,36614,172055,14362,1922,4007,7090,12000,800,936,499,119,0,1826,142184.5,16830.13,4076.73
223,28178,13191,3267,1126,13017,8159,35000,800,1902,0,179,599,4611,-42684.5,3297.93,11137.35
224,53675,159472,5797,7124,17959,8839,35000,800,2787,199,119,599,890,99218.5,4404.91,21269.09
225,79832,27237,5836,5165,18100,7762,12000,800,3370,649,0,299,4865,-13177.5,4113.51,17471.31
226,137078,113231,7891,7890,8507,3879,0,800,1060,499,0,299,3223,93266.5,6611.32,8777.76
227,87906,180726,8633,5891,22849,3181,0,800,888,649,179,0,4555,153378.0,6403.17,16487.27
228,137238,51534,10352,4390,16295,4494,35000,800,857,499,179,299,1615,-5480.5,12355.76,20475.6
229,52605,185264,9048,7536,12641,3829,35000,800,1684,0,179,599,4711,125764.0,7843.11,8875.73
230,35930,51868,4024,5132,6141,7552,25000,800,3443,0,179,0,66,10955.5,4184.03,7128.96
231,48527,174390,2710,1198,13884,4096,12000,800,2130,199,179,299,2122,145717.0,3492.14,17596.63
232,49595,191836,4560,1096,8859,2252,0,800,1916,199,0,599,1143,178795.5,4812.69,9422.08
233,142556,127895,6772,3850,6767,5410,12000,800,2613,499,119,299,324,99841.5,4821.29,6711.75
234,41169,184564,12108,5360,1038,2896,35000,800,1624,199,0,299,1996,133945.0,15496.88,746.73
235,27482,84071,14170,1626,3517,9240,0,800,3018,199,179,299,2900,62399.5,14109.2,2964.28
236,111692,186972,12162,6870,20247,6001,35000,800,3592,499,0,0,417,124024.0,11816.36,16011.16
237,129747,28362,10755,7508,7154,8680,25000,800,1911,199,119,599,3549,-20863.5,12169.64,8513.59
238,110740,18692,2049,6359,21560,6124,8000,800,898,649,0,0,3196,-12897.0,2106.36,26150.47
239,139238,15072,5756,2251,17525,3274,12000,800,1285,0,0,299,1682,-15397.0,4580.74,15584.09
240,30783,111817,4224,6763,14551,4217,25000,800,2182,199,119,599,3084,64956.5,3600.03,18512.61
241,137967,8840,14329,1212,14946,5640,0,800,2763,199,0,299,763,-14047.5,16806.03,10860.45
242,75325,78974,6834,4550,6417,6920,35000,800,3258,649,179,599,4859,21269.5,7660.03,7864.69
243,105041,120255,14083,1494,24380,6771,35000,800,2356,499,179,0,49,58008.0,13600.95,24082.93
244,50844,169583,6193,6982,10821,8993,35000,800,3472,499,0,0,460,112857.5,4772.78,14047.98
245,24432,150844,10609,7606,19422,5218,12000,800,2070,649,179,0,536,113182.5,11609.58,19896.51
246,86946,111416,14471,6324,14049,3878,0,800,3225,649,119,599,639,86024.0,13192.38,13210.92
247,52489,166271,14309,2996,1358,5806,0,800,1714,199,179,0,3661,147483.5,15302.02,1279.55
248,101019,181643,13754,2757,8290,3085,35000,800,1354,199,0,599,2354,127394.0,12303.15,10332.22
249,34839,98910,2920,1517,24702,7902,35000,800,3262,0,179,0,4663,36485.5,3021.6,28245.47
250,62513,36227,13603,5965,9925,3579,35000,800,1325,649,179,0,2316,-20578.0,11609.82,10147.28
251,55937,60279,14088,7359,14096,8406,0,800,3289,649,119,0,4924,28523.5,15971.59,12785.8
252,65534,171699,13549,2509,17739,4812,0,800,1166,0,179,0,4590,145659.5,10237.31,15102.06
253,102266,18645,6010,4689,24119,9897,0,800,1993,649,119,599,374,-8246.5,5351.95,29872.85
254,147580,158879,13521,7113,1225,9564,25000,800,3591,499,0,0,1299,111978.5,13184.28,1497.31
255,91708,109398,14177,1548,24364,8725,25000,800,1054,499,0,599,1022,56017.0,12740.54,21321.82
256,31891,189749,6999,1337,23601,2204,35000,800,1687,499,179,299,4677,129537.5,6488.97,26909.79
257,87071,186968,11949,5433,2850,6636,25000,800,1584,499,0,0,1345,144306.0,15444.04,2807.22
258,106001,71190,2239,3363,11292,8935,8000,800,3336,499,119,599,1982,42940.5,1985.61,11937.75
259,133378,196841,14613,6359,20636,8052,35000,800,2020,649,119,599,861,131963.0,17916.24,25154.34
260,82395,149924,12870,3726,13333,4841,0,800,3894,0,0,299,2900,124646.0,9285.21,16789.29
261,72665,100636,14287,5610,22642,3743,35000,800,2405,0,179,299,4020,34792.0,14902.71,25454.08
262,76386,110892,11494,1810,19548,9211,8000,800,1468,199,179,299,1938,76977.5,14429.17,16099.13
263,36682,88771,10012,1203,13062,7051,35000,800,3349,649,179,299,4540,28291.0,8996.47,13814.37
264,77172,108219,13123,4614,13727,2392,8000,800,2512,199,0,599,3761,75420.0,15489.35,16168.81
